question,text
From what language does Universitas come from?,Latin
What did a universitas have in common with similar guilds?,they were self-regulating
Around the beginning of what two things did word universitas start to become prevalent?,urban town life and medieval guilds
Which individuals usually approved charters for universitas?,"princes, prelates"
In terms of academics what is a core requirement of a university?,academic freedom
What was the first university?,University of Bologna
What charter is said to be the first establishing academic freedom in a university?,the Constitutio Habita
What did the Constitutio Habita say students were allowed?,unhindered passage in the interests of education
On what date was the Magna Carta Universitatum signed?,18 September 1988
Who presided over classes at a scholae monasticae?,monks and nuns
What is a scholae monasticae?,monastic schools
What church is said to be responsible for the formation of universities?,Latin Church
"In the chronology of academic institutions, where are Christian cathedral schools compared to universities?",immediate forerunners
During which era did universities grow out of already extant schools?,early medieval period
Which ancient texts began to see more study after universities were formed?,Greek
What outlook developed the creation of the university system?,humanism
Why did rulers and governments in Europe form universities?,to satisfy a European thirst for knowledge
What type of governments were involved in creating universities?,city governments
Roughly how many pages of the works of Aristotle were translated by the 12th century?,more than 3000 pages
Richard Dales believes that the work of Aristotle represents the turning point of what?,Western thought
What word described the early attempts to understand the work of Aristotle?,scholasticism
What faculty did scholars attempt to use to prove the thoughts of Aristotle?,reason
What language did 12th century scholars studying Aristotle speak in?,Latin
Which language was used in lectures in early European universities?,Latin
For what subjects did professors use the work of Hippocrates?,medicine
What type of subjects did the universities of northern Europe focus on?,arts and theology
What type of degree was given out at a English university?,bachelor's degrees
What type of university was an Islamic madrasa akin to?,Mediterranean universities
What type of individual funded a Mediterranean university?,prince or monarch
From where did a degree come in a madrasa?,individual teachers
In which century did Islamic madrasas start to transform into universities?,10th
Madrasas in which specific location are said to have guided the formation of medieval universities?,Al-Andalus
"Some scholars think that universities come from what, rather than solely local influences?",a global context
Al-Andalus was an Emirate of which entity?,Sicily
During what notable Middle East conflict is it believed by some that Universities received influence from madrasas?,the Crusades
What was the time span of the Early Modern period?,late 15th century to 1800
At the completion of the Middle Ages how long had universities existed?,about 400 years
How many universities were within Europe at the closure of the middle ages?,twenty-nine
How many universities were within Europe by the completion of the 18th century?,143
The German Empire had how many universities?,34
What war most curtailed the spread of universities in the 17th century?,the Thirty Years' War
Which university is said to have started faculty governance?,University of Paris
Which entity started to appoint the administration of universities in the 17th century?,the state
The control of universities by the state can be attributed to the advancement in the development of what?,the nation-state.
How would one describe the control of universities before nation-states in the 17th century?,student-controlled
What were the faculty who supervised students in the University of Paris called?,masters
The structure of the University of Paris served as what for other universities?,a standard
What type of student did schools that focus on very specific topics aim to create?,specialists
"Which university had teaching which was more general, and not centralized?",University of Oxford
How many styles did the University of Paris model end up taking when applied to other universities?,at least three
What was the source of educational material in Early Modern age universities?,the curriculum and research of the Middle Ages
What sources did Early Modern age universities rely on for medical curricula?,Galen and Arabic scholarship
The concentration on students to live honorable lives is an example of what form of thought?,Humanist
Niccolò Leoniceno was a professor of what subject?,medicine
Which individual added a humanist view into the Corpus Juris?,Andreas Alciatus
Discovery and exposition were examples of the focus of what type of university scholar?,humanist
A concentration on the study of the self resulted in what field of study?,the humanities
What work did Vesalius push the study of?,Galen
What spread the use of texts by Galen within universities?,the printing press
In multiple countries in Europe students can attend a university with what kind if financial burden?,without tuition fees
Until what year were public universities in nordic nation free of tuition?,around 2005
What kind of students pay fees in public universities in Denmark?,foreign students
In terms of Universities in Denmark what is the fee status for citizens of EFA states?,exempted from tuition fees
What happened to public grants in nordic universities that continued to allow foreign students?,increased
In Ireland what word is mainly used instead of university?,college
Scotland is said to frequently refer to university as what?,Varsity
Spain refers to a university in what other way?,uni
The nation of Ghana shortens university to what?,varsity
In what century was it believed that the UK used the word varsity to refer to a university?,19th
A college teaches students for how many years in Canada?,two
What type of institution is a college in Canada?,non-degree-granting
How many years does a degree-granting university in Canada spend teaching students?,four
What is McGill University in Canada an example of?,medical schools
What type of university is St Francis Xavier in Canada?,undergraduate
How many vice presidents do most universities have?,at least one
What kind of board does a university commonly have?,a board of trustees
Who controls public universities?,government-run higher education boards
What are the different departments of a university called?,schools or faculties
"Besides students, what is the source of funds of private universities?",business corporations
How does the financial backing of universities around the world differ?,varies widely
"Outside of state funded schools, and funds coming from donors, how might a university collect funds?",fees which students attending the university
In nations that accept students from through the world what might the university offer to a student?,accommodation
What is a university formed through a bilateral treaty known as?,intergovernmental
"In terms of intergovernmental universities, what is EUCLID?","Pôle Universitaire Euclide, Euclid University"
What is a mission of EUCLID as it relates to signatory nations?,sustainable development
What type of school is the European University Institute?,post-graduate
What type of study does the European University Institute focus on?,social sciences
What was a focus of the National University of Ireland during the beginning of Irish Independence?,Irish language and Irish culture
In what nation did the University Revolution occur?,Argentina
In what year did Argentina's University Revolution occur?,1918
What was the result of the University Revolution in Argentina?,Reforms
In what year did the Robbins report say that universities should have four objectives to remain balanced?,1963
What nation did the 1963 Robbins Report focus on?,the United Kingdom
"What should a university promote, according to the Robbins Report?",general powers of the mind
"Universities should maintain what, according to the Robbins Report?",research in balance with teaching
The Robbins Report says universities should transmit what?,a common culture and common standards of citizenship
Ending with what century did religion play a smaller part in the curriculum of universities?,19th
what model of university structure was being used throughout the world at the finish of the 19th century?,the German university model
What was the focus of universities in the 20th century?,science
Who was Sir Keith Murray?,chairman of the University Grants Committee
What university did Sir Samuel Curran contribute to the creation of?,the University of Strathclyde
At the end of what period would universities become alike to contemporary universities?,the end of the early modern period
What type of focus did universities have at the end of the early modern period?,mechanistic
What replaced theological studies in universities at the completion of the early modern period?,humanities
The change in universities towards the completion of the early modern period is credited with the formation of what entity?,the modern state
The study of the humanities at the end of the early modern period replaced the study of the work of what individual?,Aristotle
Scientists and universities were competing for what?,limited resources
What type of education did private benefactors hope to provide to the public?,free
 Governments created universities to serve as what?,an alternative to traditional universities
What type of entity created competition with government created universities?,private benefactors
What percentage of scientists from 1450–1650 in the Dictionary of Scientific Biography were taught in a university?,more than 80%
On the part of universities what was their reaction to giving up the Aristotelian system?,considerable reluctance
What university was Melancthon from?,University of Wittenberg
The acceptance of new concepts and sciences by universities brought these ideas what?,legitimacy and respectability
